Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-03,Brooks_Lee,686797,hitter,MIN,TB,2026,831641,0,142,139,1,811315.0,,0.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,0.0,8.0,0.081081081081081,0.2299999999999999,0.2299999999999999,0.0,0.0,27.6,4.1,8.2,2.7,1.08,0.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.32974414414414416,-0.41130945945945957,0.06041216216216205,-0.4744,0.3463513513513514,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,Brooks_Lee,686797,hitter,MIN,BAL,2026,831630,1,142,110,0,700249.0,,2.0,5.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0909090909090909,0.9633333333333334,0.9633333333333334,1.0,30.0,65.0,4.1,8.2,3.0000000000000004,1.08,-10.0,82.0,0,4.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.2986303030303029,1.129422727272727,0.521128787878788,-0.14939999999999998,0.592909090909091,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,-0.0155555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3366666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8718055555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8780555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Brooks_Lee,686797,hitter,MIN,PHI,2026,831522,2,142,143,1,660604.0,,1.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,9.0,0.075,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,5.375,1.08,0.0,83.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,2.5,1.5,0.5,0.5,0.5,2.5,1.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.7376855699259262,-0.1379905903999994,-0.2467885552083331,-0.47440615633333333,-0.007025387316666687,1.0,2.5,1.5,0.0,0.5,2.0,5.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.05,0.9425,0.0,0.0450605208333333,0.8922222222222222,0.104,0.0,0.0,0.0,0.0,0.0003556992592592,3.556992592592593e-05,0.9191666666666666,-0.0719999999999999,0.0,0.0,0.0,0.0,-0.0002536899999999,-4.059039999999998e-05,0.65625,0.3560000000000001,0.0,0.0,0.0,0.0,0.0008955625,4.477812500000001e-05,0.8922222222222222,-0.0719999999999999,0.0,0.0,0.0,0.0,-0.0002462533333333,-6.156333333333333e-06,0.6859722222222221,0.156,0.0,0.0,0.0,0.0,0.0004102113888888,2.461268333333333e-05
2026-03-10,Brooks_Lee,686797,hitter,MIN,TB,2026,831618,3,142,139,0,571927.0,Steven_Matz,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,7.0,0.081081081081081,0.0,0.0,0.0,0.0,10.0,4.1,8.2,2.6999999999999997,1.0611111111111111,0.0,85.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.4998558558558557,-0.14387612612612632,-0.6227545045045046,-0.48044444444444445,0.05068468468468468,1.0,2.0,1.3333333333333333,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,0.8296759259259257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8741666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6338425925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6150925925925924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-12,Brooks_Lee,686797,hitter,MIN,BOS,2026,831622,4,142,111,1,813349.0,Connelly_Early,2.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,0.073170731707317,0.7200000000000001,0.7200000000000001,0.3333333333333333,28.33333333333333,65.0,0.0,9.818181818181818,7.627040816326532,1.08,0.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.2845376465672681,0.12999555825573217,0.6462001532510193,-0.3202928952528409,0.2302510552624769,0.75,1.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.05,0.9425,0.0,0.0783938541666666,0.4319791666666666,-0.7927237762237762,0.0,0.0,0.0,0.0,-0.0026253745312499,-0.0002625374531249,0.5410416666666666,-0.839083041958042,0.0,0.0,0.0,0.0,-0.0034805048041108,-0.0005568807686577,0.3286458333333333,-0.7700335081585081,0.0,0.0,0.0,0.0,-0.0019401903305389,-9.700951652694816e-05,0.3585416666666666,-0.8667272727272728,0.0,0.0,0.0,0.0,-0.002382476780303,-5.956191950757575e-05,0.3788541666666665,-0.8593764568764569,0.0,0.0,0.0,0.0,-0.0024961006942421,-0.0001497660416545
2026-03-13,Brooks_Lee,686797,hitter,MIN,TOR,2026,831623,5,142,141,0,664074.0,,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,2.0,0.1162790697674418,0.1379999999999999,0.1379999999999999,0.0,0.0,16.56,4.1,8.2,5.8500000000000005,1.08,11.0,73.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.7704774856647865,0.12074294244232675,0.223238898188876,-0.4746160445885362,-0.05087696282072135,1.0,1.8,0.8,0.0,0.4,2.0,3.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.1,0.8722747564417435,0.0,0.1076479675669219,0.7230833333333334,-0.1208888888888889,0.0,0.0,0.0,0.0,-0.0018608022668676,-0.0001860802266867,0.7942222222222223,-0.3636805555555556,0.0,0.0,0.0,0.0,-0.0061487608982488,-0.0009838017437198,0.5291666666666667,-0.7505416666666666,0.0,0.0,0.0,0.0,-0.0084545943620164,-0.0004227297181008,0.671,-0.605,0.0,0.0,0.0,0.0,-0.0086417835414486,-0.0002160445885362,0.581,-0.7022777777777777,0.0,0.0,0.0,0.0,-0.008685814453883,-0.0005211488672329
2026-03-15,Brooks_Lee,686797,hitter,MIN,BOS,2026,831615,6,142,111,0,664918.0,,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0975609756097561,0.2225,0.2225,0.0,0.0,26.7,4.1,8.2,10.092150706436422,1.08,-11.0,84.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.6841673290704651,-0.2806884146341462,0.2126593645901138,-0.4744,0.02908924263889434,1.0,1.8,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.0,1.0,0.0,0.1,0.7686990740740739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7252685185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6356249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3746712962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4430046296296295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-16,Brooks_Lee,686797,hitter,MIN,PIT,2026,831506,7,142,134,1,663562.0,,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,6.0,0.0789473684210526,0.24,0.24,0.0,0.0,28.8,4.1,8.2,5.25974025974026,1.08,0.0,83.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.4626366448785414,0.350935336559709,-0.22075102550673648,-0.47436967608471264,-0.22913515509488236,0.8,1.0,0.2,0.0,0.2,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.05,0.9425,0.0,0.1283938541666666,0.5724216269841269,-0.2677048872180451,0.0,0.0,0.0,0.0,-0.0020559709001638,-0.0002055970900163,0.5068670634920635,0.0687546992481202,0.0,0.0,0.0,0.0,0.000467564024498,7.4810243919695e-05,0.4990625,0.1143330200501253,0.0,0.0,0.0,0.0,0.0007655459144851,3.827729572425532e-05,0.1791031746031745,0.5047744360902255,0.0,0.0,0.0,0.0,0.001212956611494,3.0323915287350293e-05,0.2718263888888888,0.1632694235588972,0.0,0.0,0.0,0.0,0.0005954442491116,3.572665494669834e-05
2026-03-17,Brooks_Lee,686797,hitter,MIN,PHI,2026,831554,8,142,143,0,666200.0,Jesús_Luzardo,2.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0909090909090909,0.5933333333333334,0.5933333333333334,0.0,0.0,65.0,0.0,15.0,3.2785714285714285,1.08,-13.0,55.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.3459968089144607,0.25819957688718786,-0.2286921018884338,-0.4744135484375,-0.34427301079550526,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.05,0.9425,0.0,0.1450605208333333,0.4071449652777777,-0.815909090909091,0.0,0.0,0.0,0.0,-0.0050936302701494,-0.0005093630270149,0.3330862268518519,-0.8849431818181819,0.0,0.0,0.0,0.0,-0.0045196899096213,-0.0007231503855394,0.3495124421296297,-0.930965909090909,0.0,0.0,0.0,0.0,-0.0049892239158621,-0.0002494611957931,0.0353437499999999,-1.0,0.0,0.0,0.0,0.0,-0.0005419374999999,-1.354843749999998e-05,0.1324921875,-0.9079545454545456,0.0,0.0,0.0,0.0,-0.0018445522194602,-0.0001106731331676
2026-03-20,Brooks_Lee,686797,hitter,MIN,TOR,2026,831604,9,142,141,1,453286.0,Max_Scherzer,2.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,3.0,0.0909090909090909,0.8233333333333333,0.8233333333333333,0.0,0.0,65.0,0.0,5.946428571428571,4.469747899159665,1.08,0.0,73.0,0,3.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.7875696249747894,-0.11400484224302487,-0.02396217248129895,-0.47444771775038247,-0.21664568490234237,1.0,1.2,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.1,0.6790165042944956,0.0,0.1766820478223924,0.6181180555555555,-0.5491373626373627,0.0,0.0,0.0,0.0,-0.0326855938986593,-0.0032685593898659,0.4607114197530864,-0.6237527472527472,0.0,0.0,0.0,0.0,-0.0276723094734509,-0.0044275695157521,0.5430208333333333,-0.6036904761904761,0.0,0.0,0.0,0.0,-0.0315671063614024,-0.0015783553180701,-0.0317777777777778,-0.6237527472527472,0.0,0.0,0.0,0.0,-0.0019087100152987,-4.7717750382468616e-05,0.2447384259259258,-0.7370238095238095,0.0,0.0,0.0,0.0,-0.0173695128236088,-0.0010421707694165
2026-03-21,Brooks_Lee,686797,hitter,MIN,TB,2026,831599,10,142,139,0,691765.0,,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,9.0,0.0967741935483871,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.821428571428571,1.0611111111111111,-8.0,76.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.7057818740399386,0.39326075268817207,-0.5,-0.48044444444444445,-0.4381221198156682,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3333333333333333,0.0,1.0,0.0,0.1666666666666666,0.7672712121212119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5457974747474746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684469696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.085475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3213999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23,Brooks_Lee,686797,hitter,MIN,BOS,2026,832036,11,142,111,0,670912.0,,2.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0909090909090909,0.445,0.445,0.0,0.0,53.4,4.1,8.2,1.457142857142857,1.08,0.0,77.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.291508368597851,0.31021820081527984,-0.37249742607380487,-0.4748243348328592,-0.48042553672352706,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3666666666666666,0.1,0.7300217464110783,0.0,0.2093905669397976,0.7274501262626263,-0.6684615384615384,0.0,0.0,0.0,0.0,-0.0481370932422706,-0.004813709324227,0.4825012626262626,-0.7791634615384615,0.0,0.0,0.0,0.0,-0.0372157903590465,-0.0059545264574474,0.629011994949495,-0.4496826923076922,0.0,0.0,0.0,0.0,-0.0280004695280462,-0.0014000234764023,-0.1849646464646465,-0.9269999999999998,0.0,0.0,0.0,0.0,-0.0169733933143711,-0.0004243348328592,0.2011243686868688,-0.5790897435897435,0.0,0.0,0.0,0.0,-0.01152950816268,-0.0006917704897608
2026-03-24,Brooks_Lee,686797,hitter,MIN,BOS,2026,832037,12,142,111,1,624133.0,Ranger_Suarez,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,9.0,0.0465116279069767,1.05,1.05,1.5,30.0,65.0,3.0,6.0,1.8428571428571427,1.08,0.0,82.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.20472405242682856,1.7430553100900652,-0.14558857534536906,-0.02447724298437498,-0.3313801018278959,1.2,1.2,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.4,0.05,0.9425,0.0,0.2117271875,0.7869913194444447,-0.3004090909090909,0.0,0.0,0.0,0.0,-0.0054376449770359,-0.0005437644977035,0.5065752314814818,-0.4749431818181818,0.0,0.0,0.0,0.0,-0.0055336724022122,-0.0008853875843539,0.6921614583333338,-0.7362992424242423,0.0,0.0,0.0,0.0,-0.0117216730203401,-0.000586083651017,-0.2276875,-0.5899999999999999,0.0,0.0,0.0,0.0,-0.0030897193749999,-7.7242984375e-05,0.2241440972222224,-0.7132878787878786,0.0,0.0,0.0,0.0,-0.0036772231559606,-0.0002206333893576
2026-03-26,Brooks_Lee,686797,hitter,MIN,BAL,2026,824865,13,142,110,0,669432.0,Trevor_Rogers,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,9.0,0.0857142857142857,0.0,0.0,0.0,0.0,10.0,10.339285714285714,11.330357142857144,2.27922077922078,1.08,10.0,77.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.4210738044915239,0.2934645978084369,-0.38237492091572073,-0.2342065409229312,0.014868390673152487,1.4,2.0,0.2,0.2,0.4,1.0,4.0,1.0,1.0,2.0,batter_pitcher_profile_network_v2,0.4333333333333333,0.15,0.8895484328654293,0.0,0.2528212142127644,0.7812188644688643,0.5015172413793102,0.0,0.0,0.0,0.0,0.018752214825021,0.0018752214825021,0.7318638583638581,0.5735646551724136,0.0,0.0,0.0,0.0,0.0200912363027317,0.003214597808437,0.6716117216117214,0.568699712643678,0.0,0.0,0.0,0.0,0.018280802464807,0.0009140401232403,0.2797307692307691,0.5779827586206896,0.0,0.0,0.0,0.0,0.0077383630827542,0.0001934590770688,0.5278076923076922,0.730574712643678,0.0,0.0,0.0,0.0,0.0184558618685569,0.0011073517121134
2026-03-28,Brooks_Lee,686797,hitter,MIN,BAL,2026,824862,14,142,110,0,680694.0,Kyle_Bradish,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,9.0,0.0857142857142857,0.0,0.0,0.0,0.0,10.0,0.0,4.33125,0.9935064935064936,1.08,-9.0,46.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.31365748316584596,-0.5276963222846228,-0.5,-0.33486246672910913,-0.3744843997095715,1.0,1.6,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.4666666666666667,0.1,0.5489776590544825,0.0,0.2616083570099159,0.6196706349206349,-0.4028024193548388,0.0,0.0,0.0,0.0,-0.0525360990774711,-0.0052536099077471,0.5896785714285714,-0.500866935483871,0.0,0.0,0.0,0.0,-0.0621645142788924,-0.0099463222846227,0.5655753968253968,-0.5552083333333332,0.0,0.0,0.0,0.0,-0.0660923692580198,-0.0033046184629009,0.1754742063492063,-0.500866935483871,0.0,0.0,0.0,0.0,-0.018498669164365,-0.0004624667291091,0.4553849206349206,-0.6885416666666666,0.0,0.0,0.0,0.0,-0.0659954064149379,-0.0039597243848962
2026-03-29,Brooks_Lee,686797,hitter,MIN,BAL,2026,824864,15,142,110,0,669358.0,Shane_Baz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,4.5,12.0,1.2902097902097902,1.08,13.0,56.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.4054188152632795,-0.8617928451786773,-0.5,-0.33447285023133744,-0.45697609640592546,0.6,1.2,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.5,0.1,0.9120495128834868,0.0,0.2738273934671772,0.4974865740740742,-0.652375,0.0,0.0,0.0,0.0,-0.0142720687167125,-0.0014272068716712,0.4670657407407407,-0.7433437500000001,0.0,0.0,0.0,0.0,-0.0152677823667328,-0.0024428451786772,0.4489375000000001,-0.4892395833333333,0.0,0.0,0.0,0.0,-0.0096586343442403,-0.000482931717212,0.0851185185185183,-0.7785000000000001,0.0,0.0,0.0,0.0,-0.0029140092534977,-7.285023133744274e-05,0.3334587962962962,-0.5530416666666667,0.0,0.0,0.0,0.0,-0.0081097652735839,-0.000486585916415
