date,leg_i,leg_j,same_game,p_i,p_j,ev_i,ev_j,p_joint,p_joint_l,d_s,joint_ev,joint_ev_lcb,counterexample_mass,counterexample_count,retained_world_count,world_contraction_bits,logical_certificate,win_i,win_j,both_win,support_min_history_rows,support_max_rmse,calibration_pairs_prior,calibration_days_prior,evaluated,realized_return
20260731,David Hamilton|R|UNDER|0.5|823999,Isaac Collins|TB|UNDER|1.5|824325,False,0.7574537337142067,0.6141367046423143,0.1210780203528127,0.0402046790499555,0.4651801399422598,0.3961313357989695,2.5068795982902548,0.1661506023510568,-0.0069464360420972,0.5348198600577401,3,4,0.0,False,1,0,False,93.0,1.3663918390153666,535827,9,True,-1.0
20260730,Dalton Rushing|R|UNDER|0.5|823921,Rafael Devers|TB|OVER|1.5|823271,False,0.6833971364251711,0.5279174828890749,0.0744743381552199,0.1245189149674323,0.360777296075178,0.2843007457744322,3.3490652822312907,0.2082667169026582,-0.0478582426143845,0.6392227039248219,3,4,0.0,False,0,1,False,84.0,2.0968721967456943,460093,8,True,-1.0
20260731,Tim Tawa|R|UNDER|0.5|824407,Lars Nootbaar|TB|OVER|0.5|822782,False,0.7586742509049839,0.5423266901500726,0.0940784831793932,0.1465778416452166,0.4114492953953856,0.3151911839807883,3.0488474761606543,0.254446145834301,-0.039030154212085,0.5885507046046143,3,4,0.0,False,0,0,False,45.0,1.4868766220186351,505688,9,True,-1.0
20260619,Ryan Ward|R|UNDER|0.5|823936,Christian Walker|TB|OVER|1.5|824179,False,0.7559472122420725,0.4877019669877377,0.1879170478089711,0.0698464981259332,0.3686769423493556,0.275780150196568,3.4471613157142853,0.2708888936625244,-0.0493413346005152,0.6313230576506444,3,4,0.0,False,0,0,False,22.0,2.1228578877535904,100065,2,True,-1.0
20260501,Daylen Lile|R|OVER|0.5|822744,Edmundo Sosa|R|UNDER|0.5|823877,False,0.3949202508645874,0.8187582086459785,0.8018236445696798,0.0515804480713752,0.32334419715591,0.2699287955642772,5.85989336492891,0.8947625155021823,0.5817539581303599,0.67665580284409,3,4,0.0,False,0,0,False,23.0,0.7170694612614321,7374,1,True,-1.0
20260731,Lawrence Butler|R|UNDER|0.5|824975,Weston Wilson|TB|UNDER|1.5|823111,False,0.708426170928357,0.7750570273223797,0.1333710385151174,0.4490196597766227,0.5490706821171084,0.45165819682307,2.9910118498725096,0.642276916629853,0.3509150187898526,0.4509293178828915,3,4,0.0,False,1,1,True,49.0,1.1486108878493586,539116,9,True,1.9910118498725096
20260621,Dylan Crews|R|OVER|0.5|822968,Kyle Stowers|R|UNDER|2.5|823852,False,0.3846682168471036,0.9455010533167912,0.5695870863767734,0.151687995688434,0.3637042042064283,0.3112650758519823,4.970177921126613,0.8076746055677149,0.547042807617323,0.6362957957935717,3,4,0.0,False,0,1,False,35.0,0.7277396483672721,201177,4,True,-1.0
20260802,Munetaka Murakami|R|OVER|0.5|822943,Ceddanne Rafaela|TB|OVER|1.5|823919,False,0.4407519968779794,0.512637149848584,0.0005070329130134,0.4302576480775493,0.2259458474695993,0.1791162918932292,6.3333,0.4309828357792138,0.1343972114473888,0.7740541525304006,3,4,0.0,False,0,1,False,81.0,1.9673315970317584,609138,11,True,-1.0
20260619,Carson Kelly|TB|UNDER|4.5|824663,Steven Kwan|TB|UNDER|1.0|824179,False,0.9470194114865764,0.7637927864828249,0.1574681695947044,0.5880480973571378,0.7233265951526571,0.5443565376746757,2.5411966555555554,0.8381151244763194,0.3833170129686876,0.2766734048473429,3,4,0.0,False,0,1,False,66.0,1.5219462462583102,104916,2,True,-1.0
20260627,Wilyer Abreu|R|UNDER|0.5|824745,Mike Yastrzemski|TB|OVER|0.5|823207,False,0.6792660163574309,0.5287646979784562,0.1534705946197583,0.1022097591290369,0.359171889986266,0.2953945697737337,3.5397161685088587,0.2713665462582708,0.0456129347178035,0.640828110013734,3,4,0.0,False,1,0,False,82.0,1.4725326056893586,333922,6,True,-1.0
20260619,Ezequiel Tovar|R|UNDER|0.5|824345,JP Crawford|R|UNDER|0.5|823124,False,0.7010480670343315,0.7329245166304845,0.1180793683844563,0.1216147838810182,0.5138153156658729,0.4521659864657718,2.440671406431668,0.2540543491323574,0.1035885941279777,0.4861846843341271,3,4,0.0,False,0,1,False,64.0,0.7694767561169102,86984,2,True,-1.0
20260802,Dominic Canzone|TB|OVER|1.5|823107,Mookie Betts|TB|OVER|1.5|823919,False,0.4489411045308352,0.4364514452084415,0.1582680496895547,0.0518479829523441,0.195940993885957,0.1342026383138591,6.2178,0.2183219117841037,-0.1655548354920867,0.8040590061140429,3,4,0.0,False,0,0,False,86.0,2.204061042494473,669583,11,True,-1.0
20260626,Henry Bolte|R|UNDER|0.5|824014,Ernie Clement|TB|OVER|1.5|822796,False,0.6710917041257123,0.4600959142621335,0.1518763705387458,0.6910494933828684,0.3087665511634527,0.2435375598437808,6.308584739828531,0.9478799528392432,0.5363773336055535,0.6912334488365471,3,4,0.0,False,0,1,False,51.0,1.711685845809707,301656,5,True,-1.0
20260802,Ceddanne Rafaela|R|OVER|0.5|823919,Bryan Torres|TB|UNDER|1.5|822783,False,0.4819202261373164,0.7134550060617257,0.2963654083093809,0.6276893855358825,0.3438283978600673,0.2629282587377342,6.137015522899999,1.1100802148810702,0.613594805282542,0.6561716021399326,3,4,0.0,False,1,1,True,44.0,1.501999544375426,647314,11,True,5.137015522899999
20260621,Alejandro Osuna|R|UNDER|0.5|822883,Brooks Lee|TB|OVER|1.5|825067,False,0.7671026124194804,0.4496292174813919,0.0480425390719885,0.0584075876061909,0.3449117473501024,0.2710899832949168,3.2160579742791446,0.1092561754878505,-0.1281588974771825,0.6550882526498976,3,4,0.0,False,1,0,False,53.0,1.8533683467874176,221286,4,True,-1.0
20260626,James Wood|R|OVER|0.5|824824,Dalton Rushing|TB|OVER|0.5|823285,False,0.4958035205896584,0.5013729264923733,1.0629346378324276,0.1000729570954992,0.2485824620832587,0.1703201302673863,9.129278824887331,1.2693786073350517,0.5548999587021015,0.7514175379167414,3,4,0.0,False,0,0,False,59.0,2.297964986128654,273540,5,True,-1.0
20260621,JJ Bleday|R|OVER|0.5|823531,Jared Young|R|UNDER|0.5|823449,False,0.4036533440422196,0.7013138287269093,0.071259993428963,0.0305019528181378,0.2830876721886693,0.2450532388226776,3.8996241223416894,0.1039355152044916,-0.0443844786291272,0.7169123278113306,3,4,0.0,False,0,1,False,36.0,0.7472765807359539,189517,4,True,-1.0
20260501,Garrett Mitchell|R|UNDER|1.5|822744,Jonny DeLuca|TB|OVER|0.5|822990,False,0.8791826730403883,0.4490040961888753,0.0724096341481661,0.0442552408506986,0.394756621493419,0.2976417158979632,2.8368602825745683,0.1198693807980026,-0.1556320377317246,0.605243378506581,3,4,0.0,False,1,0,False,33.0,1.2426734494834433,8110,1,True,-1.0
20260802,Nick Fortes|TB|UNDER|1.5|822943,Cooper Pratt|TB|UNDER|1.5|823996,False,0.6328189539415954,0.6469644037084193,0.3698683280872776,0.3773343067462895,0.4094113371922099,0.3028501535457942,4.608486557649947,0.886766643999789,0.3956808615980152,0.5905886628077901,3,4,0.0,False,0,1,False,51.0,1.4941239939513211,659216,11,True,-1.0
20260621,Salvador Perez|TB|UNDER|1.5|824095,MJ Melendez|TB|OVER|0.5|823449,False,0.5917053125124192,0.4455501668251974,0.2249175219505346,0.0608849327370222,0.2636344007012639,0.1853220218433319,4.929161518475016,0.2994965428828928,-0.0865178214038621,0.736365599298736,3,4,0.0,False,1,0,False,52.0,1.910831271407808,262541,4,True,-1.0
20260619,Cody Bellinger|TB|OVER|1.5|823534,Nick Loftin|TB|OVER|0.5|824097,False,0.650240831758448,0.6217702400511037,0.3290535512775532,0.2363444187523113,0.4043003980534795,0.2842838892761021,4.064225383541642,0.6431679403449417,0.1553937989278759,0.5956996019465204,3,4,0.0,False,0,0,False,53.0,2.067540100104121,109017,2,True,-1.0
20260802,Christian Koss|TB|UNDER|1.5|823270,Wilyer Abreu|TB|OVER|1.5|823919,False,0.7514836250664961,0.4471272657316975,0.5114346745416278,0.090990528385342,0.3360088185181265,0.2440740523627141,4.9074929684,0.6489609141980976,0.1977916957389132,0.6639911814818733,3,4,0.0,False,1,1,True,35.0,2.107479444405856,669237,11,True,3.9074929683999997
20260627,Kazuma Okamoto|TB|OVER|1.5|822794,Xander Bogaerts|TB|UNDER|1.0|823283,False,0.5230598594299081,0.6943832625670592,0.0853137082443995,0.3229769425525677,0.3632040117088069,0.2663962521274567,3.953274097078893,0.4358450114435654,0.0531374030943727,0.6367959882911932,3,4,0.0,False,0,1,False,84.0,1.935044173422552,403102,6,True,-1.0
20260731,Lawrence Butler|R|UNDER|0.5|824975,Willy Adames|R|OVER|0.5|823272,False,0.708426170928357,0.4282339179219486,0.1333710385151174,0.0212711368583824,0.3033721147350943,0.274439974076934,3.815377461430213,0.1574791289866997,0.0470920916086259,0.6966278852649057,3,4,0.0,False,1,0,False,105.0,0.732273387115472,538866,9,True,-1.0
20260730,Taylor Walls|TB|OVER|0.5|822946,Kyle Tucker|TB|OVER|0.5|823921,False,0.4940387370275076,0.5605268514215181,0.0510147336754931,0.060993527787087,0.2769219777462922,0.2231133115153569,4.0268375919957045,0.1151198300385674,-0.1015589299153124,0.7230780222537078,3,4,0.0,False,0,0,False,94.0,1.6965364454888872,463100,8,True,-1.0
20260619,Manny Machado|R|OVER|0.5|822886,Jake McCarthy|R|UNDER|0.5|824345,False,0.4368206379038754,0.6378209349359307,0.1245713754840185,0.2084416079033357,0.2786133476671595,0.24717982423383,4.87765160058108,0.3589788411919734,0.2056570653054912,0.7213866523328405,3,4,0.0,False,0,1,False,73.0,0.7125138155178974,76945,2,True,-1.0
20260501,Brandon Lowe|TB|OVER|1.5|823389,Bo Bichette|TB|UNDER|1.5|824041,False,0.5710687572502325,0.6582915934440339,0.299181422744279,0.132451204568188,0.3759297621763598,0.2022553471213615,3.913655462184874,0.4712595671393711,-0.2084422559823857,0.6240702378236401,3,4,0.0,False,0,0,False,37.0,2.44675768362828,41916,1,True,-1.0
20260802,Lawrence Butler|R|UNDER|0.5|824971,Jared Young|TB|UNDER|1.5|823592,False,0.6984579802534719,0.627308839692448,0.1938182499367855,0.4025538529303947,0.4381488651667362,0.3517702813980667,3.8215193950354607,0.6743943861474595,0.3442969529597939,0.5618511348332638,3,4,0.0,False,1,0,False,69.0,1.5414690291743212,635020,11,True,-1.0
20260619,Jake Meyers|R|UNDER|0.5|824179,Nicky Lopez|TB|UNDER|1.5|822886,False,0.7557810758147734,0.7339480736630271,0.0822857314694613,0.5412909546923568,0.5547040647052232,0.430600245331758,3.007220091659038,0.6681172083064821,0.2949097092349737,0.4452959352947768,3,4,0.0,False,0,1,False,33.0,1.2047710288536075,79188,2,True,-1.0
20260627,Caleb Durbin|TB|OVER|1.5|824745,Alika Williams|TB|OVER|0.5|824015,False,0.4480041629053488,0.4717921414443186,0.0471494115107591,0.0253418696394209,0.2113648433930838,0.1497076886007514,5.079776362777055,0.0736861353902611,-0.2395184221199149,0.7886351566069161,3,4,0.0,False,0,0,False,41.0,1.7870705449748372,400314,6,True,-1.0
20260627,Brice Matthews|R|UNDER|0.5|824257,Henry Bolte|R|UNDER|0.5|824015,False,0.8120537930766365,0.6610074785774898,0.1730488744162153,0.1030201709503808,0.5367736302308741,0.4745385956480082,2.4105069569740265,0.2938965699917257,0.1438785861622085,0.4632263697691259,3,4,0.0,False,1,1,True,52.0,0.7017506419251326,328688,6,True,1.4105069569740265
20260730,Nick Loftin|TB|UNDER|1.5|823674,Cal Raleigh|TB|OVER|0.5|823921,False,0.6009691083198059,0.5463679979828545,0.1816596044446627,0.0944840730568554,0.3283502885622336,0.2459037543256643,3.938804569054677,0.2933076168393476,-0.0314331689143746,0.6716497114377664,3,4,0.0,False,1,0,False,81.0,1.6476605404001738,466380,8,True,-1.0
20260802,Kazuma Okamoto|TB|OVER|1.5|822783,Spencer Jones|TB|UNDER|1.5|824648,False,0.4549769607889939,0.5961858256070118,0.0464470098146858,0.2277616770377084,0.2712508150001554,0.1766818227994818,4.736529678999999,0.2847875357011742,-0.1631413025704353,0.7287491849998446,3,4,0.0,False,0,1,False,45.0,1.997533400660608,651630,11,True,-1.0
20260731,Jorge Polanco|TB|UNDER|1.0|823593,Corey Seager|TB|UNDER|1.5|824164,False,0.7192604541205558,0.6080859236720393,0.5383008397991174,0.1185230119543403,0.4373721576046686,0.2987699498752815,3.9340064489867137,0.7206248886239996,0.1753629095727946,0.5626278423953313,3,4,0.0,False,1,0,False,38.0,1.7537262516050738,571550,9,True,-1.0
20260621,JJ Bleday|TB|OVER|1.5|823531,Jonathan Aranda|TB|OVER|1.5|822968,False,0.5024071117200657,0.4388139378175429,0.3735744669335672,0.0233348281727932,0.2204632430814203,0.1435778129209588,6.375786600321758,0.405626591101998,-0.0845785042750464,0.7795367569185797,3,4,0.0,False,0,0,False,58.0,2.13980288332811,250950,4,True,-1.0
20260731,Vaughn Grissom|R|UNDER|0.5|823999,Jake Mangum|TB|UNDER|1.5|824486,False,0.7003029470672281,0.6313092749199065,0.0461336737511834,0.0032888647178874,0.4421077457372854,0.374974404121056,2.3740236989755625,0.0495742658809776,-0.109801878107373,0.5578922542627146,3,4,0.0,False,0,0,False,76.0,1.3882154837219651,534211,9,True,-1.0
20260627,Brandon Nimmo|R|UNDER|0.5|822794,Ketel Marte|TB|OVER|1.5|822960,False,0.6739421192538202,0.4955888243801434,0.0246359822932953,0.0537800474525917,0.3339981825812632,0.256178655958527,3.2327749381688813,0.0797409540426619,-0.1718320613234855,0.6660018174187368,3,4,0.0,False,0,1,False,81.0,1.946277767941176,339509,6,True,-1.0
20260501,Jerar Encarnacion|R|UNDER|0.5|822990,Mickey Moniak|TB|UNDER|1.5|824366,False,0.8985167336261848,0.6004708176069402,0.0454132023389124,0.0403761784911456,0.5395330776740325,0.2901272804680894,2.0158597079578007,0.0876229923935485,-0.4151441051250064,0.4604669223259675,3,4,0.0,False,1,0,False,33.0,2.702952158991153,19746,1,True,-1.0
20260627,Leody Taveras|R|OVER|0.5|824825,Alex Freeland|R|UNDER|0.5|823283,False,0.4194656002428052,0.7583227949001348,0.0486640006070131,0.1374841923502021,0.3180903263405867,0.2873191979270467,3.75,0.1928387237772004,0.0774469922264253,0.6819096736594132,3,4,0.0,False,0,0,False,72.0,0.6156809368479789,364232,6,True,-1.0
20260802,Masyn Winn|R|UNDER|0.5|822783,Ryan Vilade|R|UNDER|0.5|822943,False,0.7041169672344382,0.7316485123847656,0.0826744765002651,0.1030436963364231,0.5151661316219495,0.4685799732180772,2.3181594891108563,0.1942372564879546,0.0862431113227966,0.4848338683780506,3,4,0.0,False,0,1,False,75.0,0.6147889971849988,591697,11,True,-1.0
20260619,Richie Palacios|TB|UNDER|1.0|822966,Steven Kwan|TB|UNDER|1.0|824179,False,0.7221029716426112,0.7637927864828249,0.2797927202363279,0.5880480973571378,0.5515370408384382,0.4294587186689816,3.6849245724153623,1.0323723943828167,0.5825229852613469,0.4484629591615617,3,4,0.0,False,0,1,False,59.0,1.4456565055331168,111395,2,True,-1.0
20260626,Josh Jung|R|UNDER|1.5|822796,Tyler Soderstrom|TB|OVER|1.5|824014,False,0.8522626956446341,0.5159375521857124,0.0004822948871789,0.1338115849101537,0.4397143290100893,0.3338958175587522,2.579762226521739,0.1343584164405802,-0.1386281822683369,0.5602856709899107,3,4,0.0,False,1,0,False,80.0,2.157531500112228,276986,5,True,-1.0
20260619,Jacob Young|TB|UNDER|1.0|822966,Trevor Larnach|TB|OVER|1.5|825069,False,0.7265727341780605,0.7289354574207096,0.3105119452700977,0.7617450672459651,0.5296246283375001,0.3939925322137515,4.359291150024178,1.3087879551465087,0.7175281588550229,0.4703753716624999,3,4,0.0,False,1,0,False,72.0,1.6077235733241486,111903,2,True,-1.0
20260619,Chase Meidroth|R|OVER|0.5|824264,Marcell Ozuna|R|UNDER|0.5|824345,False,0.3875329868780399,0.6761516363685948,0.0995796600448384,0.341397602899621,0.2620310632243958,0.2354119699024661,5.629002538978373,0.4749735201813267,0.3251345762868824,0.7379689367756042,3,4,0.0,False,0,1,False,63.0,0.6228116559040575,50320,2,True,-1.0
20260619,Nathaniel Lowe|R|UNDER|0.5|823534,Christian Yelich|TB|OVER|1.5|824910,False,0.7707333837329464,0.5483320127431226,0.1217934838499967,0.2739897511523783,0.422617787590604,0.3108468295725528,3.381668834816907,0.4291534013344169,0.0511810359671445,0.577382212409396,3,4,0.0,False,1,0,False,54.0,1.8756698232551603,56772,2,True,-1.0
20260731,Noelvi Marte|TB|OVER|0.5|824486,Ceddanne Rafaela|TB|OVER|1.5|823922,False,0.5497025743151815,0.4670963830585971,0.1075841182633414,0.0932208537768157,0.2567640842206209,0.1853799388240012,4.715745424726534,0.2108340553974919,-0.1257954016546315,0.743235915779379,3,4,0.0,False,1,1,True,66.0,1.857638697478404,558410,9,True,3.715745424726534
20260619,Tristan Gray|R|UNDER|0.5|825069,Tyler Tolbert|TB|UNDER|1.5|824097,False,0.8673528433455192,0.8693206721505875,0.2053653479260322,0.5382197132482411,0.7540077567688499,0.649925817029122,2.459015471925111,0.8541167398461478,0.5981776396781797,0.24599224323115,3,4,0.0,False,1,1,True,30.0,0.6555673319889652,98349,2,True,1.459015471925111
20260731,Jacob Young|R|OVER|0.5|824892,Nick Gonzales|TB|OVER|1.5|824486,False,0.3896790225381599,0.4468889900607735,0.0206271416329026,0.0624277894046585,0.1741432648299476,0.1476422740810563,6.226727395689461,0.0843426378914402,-0.0806718072175947,0.8258567351700523,3,4,0.0,False,0,1,False,101.0,1.4740239713718677,521313,9,True,-1.0
20260619,Jose Altuve|R|UNDER|0.5|824179,Colt Emerson|TB|OVER|0.5|823124,False,0.7436404575540465,0.5978750580262725,0.1124988072673327,0.4747147498759783,0.4446040817108094,0.2926725990145734,3.69006598856126,0.6406184002965689,0.0799812034075049,0.5553959182891907,3,4,0.0,False,0,0,False,38.0,2.023665065242121,79874,2,True,-1.0
20260627,Ernie Clement|TB|OVER|1.5|822794,Ryan OHearn|TB|OVER|0.5|823364,False,0.445539016667727,0.6293420273757576,0.0873580238887281,0.2127829001166086,0.2803964280246688,0.1991214206644026,4.703088505681023,0.3187292176768361,-0.063514335238372,0.7196035719753313,3,4,0.0,False,1,1,True,80.0,1.982368289055424,402793,6,True,3.7030885056810234
20260802,Heliot Ramos|TB|OVER|1.5|823270,Ryan Kreidler|TB|UNDER|1.5|823107,False,0.4427982208475125,0.6840046667738515,0.0848556410764058,0.206914810648348,0.3028760494988571,0.2200477848354876,4.322984081431844,0.3093283406305227,-0.0487369290018472,0.6971239505011428,3,4,0.0,False,0,1,False,78.0,1.9077251182685355,669358,11,True,-1.0
20260621,Jac Caglianone|R|UNDER|1.5|824095,Joey Loperfido|TB|OVER|0.5|824177,False,0.8051666358679352,0.5158305097199787,0.2109779453693707,0.2686025645082914,0.4153295161892775,0.3271854764305028,3.6988696135876182,0.5362497270585656,0.2102164167759748,0.5846704838107225,3,4,0.0,False,0,0,False,43.0,1.2829715047405756,217475,4,True,-1.0
20260731,Bo Bichette|TB|UNDER|1.5|823593,Gleyber Torres|TB|UNDER|1.5|824975,False,0.6297821677528288,0.581579545262761,0.017686172622664,0.0107760006976622,0.3662684267362859,0.2662005026163471,2.808466917814565,0.0286527595288468,-0.2523846948963795,0.6337315732637139,3,4,0.0,False,1,1,True,54.0,1.772057459837022,570799,9,True,1.808466917814565
20260626,Brandon Marsh|TB|OVER|1.5|823610,Lawrence Butler|TB|UNDER|1.0|824014,False,0.5159785661986486,0.7140155779111841,1.5730902985711217,0.3484239614290063,0.3684167341341121,0.2751252704700318,9.417641198270855,2.469616613513816,1.591031081863984,0.6315832658658878,3,4,0.0,False,0,1,False,77.0,1.8304086491214009,317065,5,True,-1.0
20260620,Jake Burger|TB|OVER|1.5|822885,Willy Adames|TB|OVER|1.0|823854,False,0.4704455420985831,0.5332893742297243,0.0119612734241776,0.073584848279179,0.2508836087549168,0.1766126472448582,4.330399644620899,0.0864262901935004,-0.2351966551353098,0.7491163912450831,3,4,0.0,False,1,0,False,87.0,2.029868581649046,174299,3,True,-1.0
20260626,Curtis Mead|R|OVER|0.5|824824,Matt Olson|TB|OVER|1.5|823206,False,0.4086662714135561,0.4858275231049896,1.4519976284813367,0.0063185970697587,0.1985413224173994,0.1531819931077401,12.428097,1.467490813511715,0.903760668996326,0.8014586775826007,3,4,0.0,False,0,1,False,72.0,2.014152050466764,273238,5,True,-1.0
20260627,Joe Mack|R|OVER|0.5|823038,Josh Lowe|TB|OVER|0.5|824015,False,0.3910682869960433,0.4839328405785802,0.0545634518042819,0.1421021918943839,0.1892507869861947,0.1350782168588005,6.364143837802041,0.2044192297973779,-0.1403427985567765,0.8107492130138053,3,4,0.0,False,1,1,True,44.0,1.885567592153508,384966,6,True,5.364143837802041
20260731,Ryan Waldschmidt|TB|OVER|0.5|824407,Rafael Devers|TB|OVER|1.5|823272,False,0.5815062508521548,0.5224970583404376,0.2051927379721843,0.1406224896929293,0.3038353054768274,0.2158247671128252,4.524391723299953,0.3746699413456709,-0.0235242099915936,0.6961646945231724,3,4,0.0,False,1,0,False,54.0,2.0908718641759227,568045,9,True,-1.0
20260501,Yainer Diaz|R|OVER|0.5|824772,Miguel Vargas|R|UNDER|0.5|823309,False,0.440882477089937,0.6334534323966188,0.3200021364072714,0.0047625955833825,0.2792785183961442,0.2335122679342238,4.7489824150058615,0.3262887727521801,0.108945654107766,0.7207214816038557,3,4,0.0,False,0,1,False,35.0,0.9095616594888918,17959,1,True,-1.0
20260731,Donovan Walton|R|UNDER|0.5|824975,Brandon Lowe|TB|OVER|1.5|824486,False,0.7306045189828726,0.4698014340465367,0.0870317076167426,0.0397935628624046,0.3432390507390337,0.270075473698596,3.293006928476155,0.1302885722072166,-0.1106395938990436,0.6567609492609663,3,4,0.0,False,1,1,True,61.0,2.101047423481037,537474,9,True,2.293006928476155
20260619,Edgar Quero|R|UNDER|0.5|824264,Joe Mack|R|OVER|0.5|823853,False,0.8524469720677644,0.5741591191377939,0.1647483233007203,0.5518015085756895,0.4894402025941073,0.4156036054671779,3.692909155458134,0.8074582052090629,0.5347863596711517,0.5105597974058927,3,4,0.0,False,1,0,False,38.0,0.8041977960874634,50990,2,True,-1.0
20260621,Ryan Ward|R|UNDER|0.5|823934,Jared Young|R|UNDER|0.5|823449,False,0.6933951687511015,0.7013138287269093,0.0863645388541607,0.0305019528181378,0.4862876206175763,0.4169698704149021,2.3021371124764456,0.1195007787615884,-0.0400781865333595,0.5137123793824236,3,4,0.0,False,1,1,True,23.0,0.5506769503761829,239682,4,True,1.3021371124764456
20260621,Edgar Quero|TB|OVER|0.5|824260,Brandon Lowe|TB|UNDER|2.0|824343,False,0.4273652695803203,0.6619309873006316,0.5067930140970685,0.2986482633592875,0.282886314831302,0.1978670435172653,6.917245651017052,0.9567941309990644,0.3686949462494051,0.717113685168698,3,4,0.0,False,1,1,True,64.0,2.234171322054273,257654,4,True,5.917245651017052
20260730,Austin Wynns|R|UNDER|0.5|822946,Josh Naylor|TB|UNDER|1.5|823921,False,0.8431937249301247,0.6290431724350944,0.1071886519224369,0.0353501354326522,0.53040525570741,0.4391741062247261,2.1612303203679883,0.1463279207173906,-0.0508436057066101,0.4695947442925899,3,4,0.0,False,1,0,False,35.0,1.5165939986178385,427774,8,True,-1.0
20260620,Rhys Hoskins|TB|UNDER|1.5|824180,Leody Taveras|TB|OVER|0.5|823937,False,0.6301272603105215,0.5504671494555715,0.1238406244798644,0.1851204162728359,0.3468643567773816,0.2607903244353662,3.839790519504743,0.3318864687079006,0.0013802153454856,0.6531356432226184,3,4,0.0,False,1,1,True,73.0,1.732888123883925,182108,3,True,2.839790519504743
20260620,Jacob Young|TB|OVER|0.5|822967,Pavin Smith|TB|OVER|0.5|825068,False,0.5902671179045453,0.5269870643804018,0.1926406793266959,0.1570643237607081,0.3110631356647969,0.1965768051025735,4.436276186072106,0.379961981114655,-0.1279310007893154,0.6889368643352032,3,4,0.0,False,0,1,False,26.0,1.6625341346845386,177320,3,True,-1.0
20260730,Randy Arozarena|R|OVER|0.5|823921,Alex Bregman|TB|OVER|1.5|823023,False,0.4981501281819229,0.460181187515717,0.1028740514334722,0.1329015386503342,0.2292393175478639,0.1831668342993753,5.450407561720431,0.2494477098065088,-0.0016661012782912,0.770760682452136,3,4,0.0,False,1,1,True,110.0,1.941148321294628,461946,8,True,4.450407561720431
20260627,Jordan Walker|R|UNDER|0.5|823038,Dalton Rushing|R|UNDER|0.5|823283,False,0.6463425155169559,0.7434869897611585,0.0875003842956105,0.1286669961336333,0.4805472512163564,0.4239875844819818,2.55422497773164,0.227425792037099,0.0829596785319819,0.5194527487836436,3,4,0.0,False,0,0,False,60.0,0.7203975056502965,383402,6,True,-1.0
20260731,Isaac Paredes|R|UNDER|0.5|824164,Rhys Hoskins|TB|OVER|0.5|824407,False,0.6732522200103084,0.5339052417248168,0.0304604465601647,0.0751813389595275,0.3594528892663732,0.290907169099962,3.0822727421627585,0.1079318426773905,-0.1033447621834547,0.6405471107336268,3,4,0.0,False,0,1,False,97.0,1.7823704037606731,523047,9,True,-1.0
20260627,Colt Keith|R|UNDER|0.5|824257,Drew Gilbert|R|UNDER|0.5|823207,False,0.7336368727980489,0.7754553377392116,0.0895102163308172,0.0776082345855584,0.56890262897355,0.5153069924454093,2.063736606212392,0.1740651807831816,0.0634579037468037,0.4310973710264499,3,4,0.0,False,0,1,False,72.0,0.6354053004201481,324794,6,True,-1.0
20260731,Donovan Walton|R|UNDER|0.5|824975,Dominic Canzone|R|UNDER|0.5|823111,False,0.7306045189828726,0.6620967113236295,0.0870317076167426,0.0952422842818221,0.4837308492967422,0.4350173397454475,2.46120976627353,0.1905630905369313,0.0706689250798258,0.5162691507032577,3,4,0.0,False,1,0,False,61.0,0.6689540239941706,537439,9,True,-1.0
20260619,Riley Greene|R|UNDER|0.5|824264,Kyle Karros|TB|OVER|1.5|824345,False,0.7926310060701602,0.6179201273781701,0.426130803415828,0.4014902124714536,0.4897826522347605,0.403950995142342,4.080806769230612,0.9987083626913332,0.6484459554143112,0.5102173477652394,3,4,0.0,False,0,0,False,82.0,1.4668059011013996,49736,2,True,-1.0
20260731,Travis Bazzana|TB|OVER|0.5|824407,Nick Loftin|TB|UNDER|1.5|824325,False,0.5547959081112539,0.6179216501798179,0.0777320223609825,0.0757502084237451,0.3428204030531166,0.2423129959763009,3.381859531563932,0.1593704476797712,-0.1805314849357339,0.6571795969468832,3,4,0.0,False,0,1,False,84.0,2.133057220195582,566719,9,True,-1.0
20260619,Jeff McNeil|R|UNDER|0.5|824990,Jordan Walker|TB|UNDER|1.5|824097,False,0.6552244592194478,0.654039217069704,0.0370928316803549,0.2000911038077206,0.4285424923128079,0.3270322500826084,2.904276480041263,0.2446058811223517,-0.0502079278701078,0.5714575076871922,3,4,0.0,False,1,0,False,82.0,2.060726886808864,92255,2,True,-1.0
20260731,Jorge Soler|R|UNDER|0.5|823999,Andruw Monasterio|TB|OVER|0.5|823922,False,0.7066939989504757,0.5959340639455384,0.1212747615501204,0.2044449527908685,0.4211430267604809,0.3396135148826711,3.206781642876191,0.3505137272408267,0.0890663851984097,0.578856973239519,3,4,0.0,False,1,1,True,84.0,1.661308046417292,532865,9,True,2.206781642876191
20260619,Jared Triolo|R|UNDER|0.5|824345,Zach Neto|TB|OVER|1.5|824990,False,0.7626222605672921,0.5711588951542819,0.3349920316638872,0.1275406524820796,0.4355784877656753,0.3392254428588163,3.45576705167875,0.5052577864406764,0.1722841085226301,0.5644215122343246,3,4,0.0,False,0,1,False,55.0,1.922128201430068,90531,2,True,-1.0
