<<<<<<< HEAD
Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,HR,RBI,TB,R,PA,AB,BB,SO,SB,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Synthetic_Market_H,Market_Source_H,Market_H_books,Market_H_over_price,Market_H_under_price,Market_H_line_std,Market_HR,Synthetic_Market_HR,Market_Source_HR,Market_HR_books,Market_HR_over_price,Market_HR_under_price,Market_HR_line_std,Market_RBI,Synthetic_Market_RBI,Market_Source_RBI,Market_RBI_books,Market_RBI_over_price,Market_RBI_under_price,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,HR_lag1,RBI_lag1,Player_ID,Position,2B,3B,HBP,IBB,SF,SH,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Market_K,Synthetic_Market_K,Market_Source_K,Market_K_books,Market_K_over_price,Market_K_under_price,Market_K_line_std,Market_ER,Synthetic_Market_ER,Market_Source_ER,Market_ER_books,Market_ER_over_price,Market_ER_under_price,Market_ER_line_std,Market_ERA,Synthetic_Market_ERA,Market_Source_ERA,Market_ERA_books,Market_ERA_over_price,Market_ERA_under_price,Market_ERA_line_std,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1,HBP_allowed,Is_Starter
2026-03-26,Geraldo Perdomo,hitter,AZ,LAD,2026,823974,0,109,119,0,2.0,1.0,2.0,5.0,1.0,4.0,4.0,0.0,1.0,0.0,3.0,0.12903225806451613,0.72775,0.32,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,76.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5384615384615384,0.5384615384615384,synthetic,0.0,-110.0,-110.0,0.0,0.07692307692307693,0.07692307692307693,synthetic,0.0,-110.0,-110.0,0.0,0.3076923076923077,0.3076923076923077,synthetic,0.0,-110.0,-110.0,0.0,2026-03-26T16:00:00Z,0.0,0.0,0.0,0.5384615384615384,0.07692307692307693,0.3076923076923077,0.5384615384615384,0.07692307692307693,0.3076923076923077,672695,SS,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-27,Geraldo Perdomo,hitter,AZ,LAD,2026,823971,1,109,119,0,1.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,1.0,0.0,3.0,0.10810810810810811,0.31175,0.72775,0.25,18.75,32.0,0.0,0.0,0.0,1.0,0.0,67.0,0,0.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.0,2.0,synthetic,0.0,-110.0,-110.0,0.0,1.0,1.0,synthetic,0.0,-110.0,-110.0,0.0,2.0,2.0,synthetic,0.0,-110.0,-110.0,0.0,2026-03-27T16:00:00Z,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,672695,SS,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-28,Geraldo Perdomo,hitter,AZ,LAD,2026,823973,2,109,119,0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,1.0,3.0,0.12121212121212122,0.22,0.51975,0.0,12.5,52.387499999999996,2.0,8.0,0.0,1.0,0.0,76.0,0,0.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,1.5,synthetic,0.0,-110.0,-110.0,0.0,0.5,0.5,synthetic,0.0,-110.0,-110.0,0.0,1.0,1.0,synthetic,0.0,-110.0,-110.0,0.0,2026-03-28T16:00:00Z,0.0,0.0,0.0,1.5,0.5,1.0,1.0,0.0,0.0,672695,SS,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-30,Geraldo Perdomo,hitter,AZ,DET,2026,825108,3,109,116,1,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,3.0,0.11904761904761904,0.13799999999999998,0.41983333333333334,0.0,8.333333333333332,52.25000000000001,1.0,9.5,1.5000000000000002,1.0,0.0,88.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,1.3333333333333333,1.3333333333333333,synthetic,0.0,-110.0,-110.0,0.0,0.3333333333333333,0.3333333333333333,synthetic,0.0,-110.0,-110.0,0.0,0.6666666666666666,0.6666666666666666,synthetic,0.0,-110.0,-110.0,0.0,2026-03-30T16:00:00Z,0.0,0.0,0.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,672695,SS,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-31,Geraldo Perdomo,hitter,AZ,DET,2026,825107,4,109,116,1,1.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,0.0,0.0,3.0,0.11764705882352941,0.39249999999999996,0.349375,0.0,6.25,49.68333333333334,1.4166666666666667,8.583333333333334,1.0000000000000002,1.0,0.0,86.0,0,0.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.0,1.0,synthetic,0.0,-110.0,-110.0,0.0,0.25,0.25,synthetic,0.0,-110.0,-110.0,0.0,0.5,0.5,synthetic,0.0,-110.0,-110.0,0.0,2026-03-31T16:00:00Z,0.0,0.0,0.0,1.0,0.25,0.5,0.0,0.0,0.0,672695,SS,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01,Geraldo Perdomo,hitter,AZ,DET,2026,825106,5,109,116,1,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.13333333333333333,0.0,0.358,0.0,5.0,46.734166666666674,4.458333333333333,7.375,2.826923076923077,1.0,0.0,80.0,0,0.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,1.0,1.0,synthetic,0.0,-110.0,-110.0,0.0,0.2,0.2,synthetic,0.0,-110.0,-110.0,0.0,0.4,0.4,synthetic,0.0,-110.0,-110.0,0.0,2026-04-01T16:00:00Z,0.0,0.0,0.0,1.0,0.2,0.4,1.0,0.0,0.0,672695,SS,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-02,Geraldo Perdomo,hitter,AZ,ATL,2026,825105,6,109,144,1,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,0.05714285714285714,0.9685,0.29833333333333334,1.0,4.166666666666666,44.91180555555555,3.0,8.666666666666666,2.378571428571429,1.0,0.0,80.0,0,0.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0.6,0.6,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,2026-04-02T16:00:00Z,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,672695,SS,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-03,Geraldo Perdomo,hitter,AZ,ATL,2026,825103,7,109,144,1,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.12903225806451613,0.0,0.3940714285714285,0.0,7.142857142857142,42.757738095238096,2.0,8.0,1.9821428571428574,1.0,0.0,83.0,0,0.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.6,0.6,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,2026-04-03T16:00:00Z,0.0,0.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,672695,SS,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-04,Geraldo Perdomo,hitter,AZ,ATL,2026,825104,8,109,144,1,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.1111111111111111,0.0,0.34481249999999997,0.0,6.25,42.33891369047619,2.6666666666666665,7.333333333333333,2.0204081632653064,1.0,0.0,89.0,0,0.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0.4,0.4,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,0.0,0.0,synthetic,0.0,-110.0,-110.0,0.0,2026-04-04T16:00:00Z,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,672695,SS,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
