Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-03,Jeremiah_Jackson,hitter,BAL,NED,2026,831445,0,110,878,1,1.0,4.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,7.0,0.05405405405405406,1.05,1.05,1.5,30.0,65.0,4.1,8.2,4.0,1.08,8.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,3.5,0.5,0.5,0.5,0.5,3.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,0.5071927927927928,1.7681770270270274,0.7723581081081083,0.7755999999999998,0.6255675675675676,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
2026-03-05,Jeremiah_Jackson,hitter,BAL,TB,2026,831633,1,110,139,0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,5.0,0.10810810810810811,0.0,0.0,0.0,0.0,10.0,4.1,8.2,3.6375,1.0611111111111111,10.0,87.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,3.5,0.5,0.5,0.5,0.5,3.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,0.5864189189189191,-0.4543626126126128,0.26484121621621637,0.3195555555555555,0.35601013513513535,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
2026-03-13,Jeremiah_Jackson,hitter,BAL,PHI,2026,831565,2,110,143,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,6.0,0.075,0.0,0.0,0.0,0.0,10.0,0.0,9.0,4.66827731092437,1.08,21.0,78.0,0,8.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,0.026047759103641543,-0.28145,-0.1953361344537815,-0.12440000000000001,-0.13138613445378144,0.5,2.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2026-03-14,Jeremiah_Jackson,hitter,BAL,PIT,2026,831562,3,110,134,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,6.0,0.07317073170731707,0.0,0.0,0.0,0.0,10.0,0.0,15.0,5.315120593692022,1.08,-8.0,80.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-0.35476753397589633,-0.6967808943089432,-0.27196551503084604,-0.24106666666666665,-0.2145285231609273,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
2026-03-18,Jeremiah_Jackson,hitter,BAL,TOR,2026,831600,4,110,141,0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,7.0,0.08333333333333333,0.7000000000000001,0.7000000000000001,1.0,30.0,65.0,3.3000000000000003,15.299999999999999,3.065934065934066,1.08,14.0,61.0,0,4.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-0.5,1.6226500000000001,-0.049953296703296624,0.025600000000000067,-0.1617032967032967,0.25,1.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2026-03-19,Jeremiah_Jackson,hitter,BAL,PIT,2026,831501,5,110,134,1,2.0,2.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,0.125,0.445,0.445,0.0,0.0,53.4,0.0,0.0,3.8013343799058084,1.08,16.0,73.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,0.5635367085295657,0.2854000000000001,0.15506671899529045,-0.09439999999999998,0.10956671899529047,0.4,1.6,0.4,0.4,0.4,1.0,4.0,1.0,1.0,1.0
2026-03-21,Jeremiah_Jackson,hitter,BAL,PHI,2026,831499,6,110,143,1,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,0.047619047619047616,0.89,0.89,0.0,0.0,65.0,4.1,8.2,2.9669709989258863,1.08,10.0,77.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,0.30107883995703544,-0.1268499999999999,0.23059854994629436,-0.33440000000000003,-0.1856514500537057,0.6,1.2,0.4,0.2,0.2,2.0,2.0,1.0,0.0,0.0
2026-03-22,Jeremiah_Jackson,hitter,BAL,WSH,2026,831503,7,110,120,1,1.0,4.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,9.0,0.02631578947368421,2.1,2.1,3.0,30.0,65.0,4.1,8.2,1.5535714285714286,1.08,-5.0,62.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,0.41522706766917294,4.2423868421052635,0.6485864661654137,0.49060000000000004,0.08162593984962407,1.0,1.6,0.4,0.2,0.2,2.0,2.0,0.0,0.0,0.0
2026-03-23,Jeremiah_Jackson,hitter,BAL,WSH,2026,831546,8,110,120,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0625,0.0,0.0,0.0,0.0,10.0,0.0,3.0,2.732142857142857,1.08,-15.0,56.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-0.25643928571428565,-0.48709999999999987,-0.13389285714285715,-0.09439999999999998,0.44110714285714303,1.2,2.4,0.6,0.4,0.8,1.0,4.0,1.0,1.0,3.0
2026-03-28,Jeremiah_Jackson,hitter,BAL,MIN,2026,824862,9,110,142,1,2.0,2.0,0.0,0.0,1.0,4.0,4.0,0.0,1.0,9.0,0.10256410256410256,0.445,0.445,0.0,0.0,53.4,3.5999999999999996,11.7,3.947448979591837,1.08,-9.0,46.0,0,5.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-0.7705994767137623,-0.8030999999999999,0.08210321821036115,-0.19440000000000002,0.20248783359497657,1.2,2.4,0.6,0.4,0.8,0.0,0.0,0.0,0.0,0.0
2026-03-29,Jeremiah_Jackson,hitter,BAL,MIN,2026,824864,10,110,142,1,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,9.0,0.07894736842105263,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,0.0,12.0,3.1760204081632657,1.08,13.0,56.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-0.3885065520945219,0.13636052631578943,-0.19580862871464372,-0.33440000000000003,0.2516431256713213,1.4,2.0,0.4,0.2,0.8,2.0,2.0,0.0,0.0,1.0
2026-03-30,Jeremiah_Jackson,hitter,BAL,TEX,2026,824863,11,110,140,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,0.02857142857142857,0.0,0.0,0.0,0.0,10.0,0.0,3.0,3.179220779220779,1.08,8.0,70.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-0.22309783549783524,-0.31614999999999993,-0.5,-0.33440000000000003,-0.05643896103896101,1.2,1.8,0.2,0.2,0.8,1.0,1.0,0.0,0.0,0.0
2026-03-31,Jeremiah_Jackson,hitter,BAL,TEX,2026,824861,12,110,140,1,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,8.0,0.10526315789473684,0.0,0.0,0.0,0.0,10.0,3.0,10.5,1.8935064935064934,1.08,17.0,82.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,0.10721043517885631,-0.6204026315789474,-0.5,-0.33440000000000003,-0.030535201640464693,0.8,1.4,0.2,0.2,0.8,0.0,0.0,0.0,0.0,0.0
2026-04-01,Jeremiah_Jackson,hitter,BAL,TEX,2026,824860,13,110,140,1,1.0,1.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,9.0,0.09523809523809523,0.2225,0.2225,0.0,0.0,26.7,0.0,9.0,1.7154845154845155,1.08,5.0,81.0,0,1.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,0.01968604728604728,-0.027225,-0.5,-0.4744,-0.3924757742257742,0.6,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2026-04-03,Jeremiah_Jackson,hitter,BAL,PIT,2026,823406,14,110,134,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,0.07692307692307693,0.0,0.0,0.0,0.0,10.0,0.0,15.75,3.3172541743970316,1.08,16.0,75.0,0,2.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-0.03266624328052897,0.11664999999999992,-0.5,-0.4744,0.19132424718139007,0.8,0.8,0.0,0.0,0.6,1.0,1.0,0.0,0.0,2.0
2026-04-05,Jeremiah_Jackson,hitter,BAL,PIT,2026,823405,15,110,134,0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,8.0,0.09090909090909091,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,9.0,18.0,2.6938775510204076,1.08,16.0,45.0,0,2.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-0.5,-0.12257727272727265,-0.4508440012368584,-0.4744,-0.19039703153988863,0.4,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
2026-04-06,Jeremiah_Jackson,hitter,BAL,CWS,2026,824619,16,110,145,0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,9.0,0.09375,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,0.0,15.0,6.160714285714286,1.08,3.0,48.0,0,1.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-0.25469226190476196,0.020525000000000015,-0.28392261904761906,-0.4744,0.28228571428571425,0.4,0.4,0.0,0.0,0.6,1.0,1.0,0.0,0.0,1.0
