Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,Connor_Wong,657136,hitter,BOS,BAL,2026,831638,0,111,110,1,605135.0,Chris_Bassitt,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,6.0,0.06976744186046512,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,4.1,8.2,4.0,1.08,-8.0,78.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.3083751937984495,-0.42366395348837205,-0.42884302325581397,-0.4744,-0.44195348837209303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,Connor_Wong,657136,hitter,BOS,PUR,2026,831439,1,111,897,1,695684.0,Elmer_Rodríguez,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,0.047619047619047616,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.0,1.08,-11.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.32693333333333324,-0.5,-0.5,-0.4744,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.03333333333333333,0.0,1.0,0.0,0.016666666666666666,-0.8718055555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9074999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8718055555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8030555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Connor_Wong,657136,hitter,BOS,PHI,2026,831581,2,111,143,0,666200.0,Jesús_Luzardo,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,4.0,0.11428571428571428,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.642857142857143,1.08,0.0,83.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.19388571428571416,-0.47855,-0.44710714285714287,-0.4744,-0.4264571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.06666666666666667,0.0,1.0,0.0,0.03333333333333333,-0.4562499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48124999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9062499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Connor_Wong,657136,hitter,BOS,DET,2026,831631,3,111,116,0,434378.0,Justin_Verlander,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,4.0,0.08823529411764706,0.0,0.0,0.0,0.0,10.0,4.1,8.2,6.5,1.0611111111111111,12.0,83.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.1669607843137254,-0.5,-0.3870735294117647,-0.48044444444444445,-0.36423529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,-0.9562499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9708333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Connor_Wong,657136,hitter,BOS,PIT,2026,831571,4,111,134,0,669387.0,Carmen_Mlodzinski,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,4.0,0.07142857142857142,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,3.8571428571428568,7.7142857142857135,3.4545454545454546,1.08,0.0,81.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.2894658008658008,-0.39185,-0.3973560606060606,-0.4744,-0.44727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.13333333333333333,0.0,1.0,0.0,0.06666666666666667,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8593749999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,Connor_Wong,657136,hitter,BOS,PHI,2026,831515,5,111,143,1,669060.0,Bryse_Wilson,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.02564102564102564,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.847358943577431,1.08,0.0,85.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.030680001231261633,-0.31134999999999996,-0.5,-0.4744,-0.5,0.2,0.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-12,Connor_Wong,657136,hitter,BOS,MIN,2026,831622,6,111,142,0,641927.0,Bailey_Ober,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,5.0,0.1,0.1725,0.1725,0.0,0.0,20.7,0.0,4.5,5.460518053375196,1.08,0.0,81.0,0,3.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.12893222630167456,-0.29359035999999994,-0.33975447233124023,-0.474559179765625,-0.3511754073312402,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.05,0.9425,0.0,0.1117271875,-1.0,-0.48275,0.0,0.0,0.0,0.0,-0.005551625,-0.0005551625000000001,-1.0,-0.5790000000000001,0.0,0.0,0.0,0.0,-0.0066585,-0.00106536,-0.75,-0.94,0.0,0.0,0.0,0.0,-0.0081075,-0.00040537500000000003,-0.95625,-0.5790000000000001,0.0,0.0,0.0,0.0,-0.0063671906250000005,-0.00015917976562500002,-0.8499999999999999,-0.94,0.0,0.0,0.0,0.0,-0.009188499999999997,-0.0005513099999999998
2026-03-15,Connor_Wong,657136,hitter,BOS,MIN,2026,831615,7,111,142,1,805673.0,Zebby_Matthews,0.0,0.0,1.0,0.0,1.0,4.0,3.0,1.0,0.0,7.0,0.10256410256410256,0.1725,0.1725,0.0,0.0,20.7,8.488636363636363,9.511363636363637,6.70418078162439,1.08,-11.0,84.0,0,3.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.05356505311730875,-0.2904306380665773,-0.2939351916880113,-0.47485716551489326,-0.2854255763033958,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.23333333333333334,0.1,0.8420238446640782,0.0,0.14135187456953172,-1.0,0.2549525691699603,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.11964476284584995,0.0,0.0,0.0,0.0,-0.00441023791610862,-0.0007056380665773793,-0.75,0.1438068181818182,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,-0.5187924901185771,0.0,0.0,0.0,0.0,-0.018286620595732047,-0.0004571655148933012,-0.8499999999999999,0.10545454545454544,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-19,Connor_Wong,657136,hitter,BOS,MIN,2026,831606,8,111,142,1,690953.0,Mick_Abel,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.02702702702702703,0.69,0.69,0.0,0.0,65.0,2.6999999999999997,7.6499999999999995,5.492642320085929,1.08,0.0,74.0,0,4.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.16681873848284345,-0.1393364864864865,0.12254605454830647,-0.4744,0.016043628800838206,0.2,0.2,0.2,0.0,0.2,0.0,0.0,1.0,0.0,1.0,batter_pitcher_profile_network_v2,0.26666666666666666,0.1,0.8590165042944955,0.0,0.15781038115572577,-0.9562499999999998,-0.04288111888111884,0.0,0.0,0.0,0.0,-0.0015416101601039784,-0.00015416101601039786,-0.9708333333333332,0.04846241258741266,0.0,0.0,0.0,0.0,0.0,0.0,-0.7364583333333332,-0.28179807692307685,0.0,0.0,0.0,0.0,-0.007802310200879652,-0.00039011551004398265,-0.95625,0.11504895104895113,0.0,0.0,0.0,0.0,0.0,0.0,-0.8593749999999999,-0.19203846153846146,0.0,0.0,0.0,0.0,-0.00620451645403319,-0.00037227098724199135
2026-03-21,Connor_Wong,657136,hitter,BOS,ATL,2026,831502,9,111,144,1,519242.0,Chris_Sale,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.030303030303030304,0.0,0.0,0.0,0.0,10.0,2.25,5.25,2.2520604395604393,1.08,-6.0,77.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.15747212787212783,-0.4462590909090909,-0.5,-0.47444840824342743,-0.5,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.1,0.7129031045706198,0.0,0.1762669369690099,-0.8697067901234571,0.2868888888888889,0.0,0.0,0.0,0.0,0.0,0.0,-0.9100925925925928,0.16270833333333343,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013888888888891,-0.3543379629629629,0.0,0.0,0.0,0.0,-0.021405546331339946,-0.0010702773165669973,-0.9197067901234568,-0.0244444444444444,0.0,0.0,0.0,0.0,-0.0019363297370982731,-4.840824342745683e-05,-0.82179012345679,-0.23875925925925912,0.0,0.0,0.0,0.0,-0.01689938465411532,-0.0010139630792469192
2026-03-23,Connor_Wong,657136,hitter,BOS,MIN,2026,832036,10,111,142,1,641927.0,Bailey_Ober,2.0,3.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,9.0,0.08695652173913043,0.54,0.54,0.25,21.25,65.0,1.875,3.75,3.664285714285714,1.08,0.0,77.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.07994340591810872,0.03342210237122212,-0.15721180663138024,-0.35877499999999996,-0.21193329569670155,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3333333333333333,0.15,0.7632193378151191,1.0,0.22389251133431384,-0.8383183760683763,-0.03949999999999996,-0.011111111111111112,0.0,0.0,0.0,-0.012409214460590222,-0.0012409214460590223,-0.890397435897436,-0.012410714285714199,-0.007407407407407407,0.0,0.0,0.0,-0.007402621049427264,-0.0011844193679083623,-0.6942307692307693,-0.2780416666666666,-0.022222222222222223,0.0,0.0,0.0,-0.03482619473940558,-0.0017413097369702792,-0.9344722222222221,0.05142857142857148,0.0,0.0,0.0,0.0,0.0,0.0,-0.8507222222222222,-0.3060476190476189,-0.022222222222222223,0.0,0.0,0.0,-0.040140849603411646,-0.0024084509762046986
2026-03-24,Connor_Wong,657136,hitter,BOS,MIN,2026,832037,11,111,142,0,687849.0,Zak_Kent,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,0.05,0.0,0.0,0.0,0.0,10.0,5.400000000000001,4.8,2.501020408163266,1.08,0.0,82.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.34327414965986414,0.24324999999999997,-0.5,-0.4744,0.11885102040816331,0.4,0.6,0.2,0.0,0.6,2.0,3.0,0.0,0.0,2.0,batter_pitcher_profile_network_v2,0.36666666666666664,0.0,1.0,0.0,0.18333333333333332,-0.6409974747474746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7552272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6109848484848484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8064804292929293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8188383838383837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-28,Connor_Wong,657136,hitter,BOS,CIN,2026,824540,12,111,113,0,663903.0,Brady_Singer,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8.0,0.02127659574468085,0.0,0.0,0.0,0.0,10.0,3.75,6.204545454545454,6.849804607157549,1.08,0.0,49.0,0,4.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.0292251593629565,-0.2081159574468085,-0.3659512590038247,-0.474620252661257,-0.017488493046377784,0.4,0.6,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.4,0.25,0.7166251015632661,0.0,0.265553356264625,-0.7103819444444446,0.5485448318804482,0.0,0.0,0.0,0.0,0.0,0.0,-0.8027083333333334,0.22220750311332493,0.0,0.0,0.0,0.0,0.0,0.0,-0.6375000000000001,0.41888465130759656,0.0,0.0,0.0,0.0,0.0,0.0,-0.8282204861111111,-0.09384557907845582,0.0,0.0,0.0,0.0,-0.008810106450280552,-0.00022025266125701382,-0.8275694444444444,0.3675747198007473,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-29,Connor_Wong,657136,hitter,BOS,CIN,2026,824538,13,111,113,0,695076.0,Rhett_Lowder,2.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,9.0,0.07894736842105263,0.7200000000000001,0.7200000000000001,0.3333333333333333,28.333333333333332,65.0,4.3545454545454545,9.872727272727273,6.196143142571714,1.08,0.0,60.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.102671339687881,0.5766080514771232,-0.06796915866088793,-0.3218814493923793,0.09764926239174365,0.4,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.43333333333333335,0.1,0.7155943574835733,0.0,0.2429006357874929,-0.8044939782439782,0.2607337662337662,0.0,1.0,0.0,0.0,0.0,0.0,-0.8664860139860139,-0.13183116883116885,0.0,1.0,0.0,0.0,-0.014077967741664983,-0.002252474838666397,-0.7027680652680652,0.1264309764309765,0.0,1.0,0.0,0.0,0.0,0.0,-0.8466159188034188,-0.6318311688311689,0.0,1.0,0.0,0.0,-0.06592464236183948,-0.001648116059045987,-0.8464957264957264,0.07457912457912469,0.0,1.0,0.0,0.0,0.0,0.0
