Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,Isiah_Kiner-Falefa,643396,hitter,BOS,BAL,2026,831638,0,111,110,1,605135.0,Chris_Bassitt,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,8.0,0.06976744186046512,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,4.1,8.2,4.0,1.08,-8.0,78.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.3083751937984495,-0.42366395348837205,-0.448843023255814,-0.4744,-0.44195348837209303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,Isiah_Kiner-Falefa,643396,hitter,BOS,PUR,2026,831439,1,111,897,1,695684.0,Elmer_Rodríguez,1.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,5.0,0.07142857142857142,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,4.1,8.2,4.0,1.08,-11.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.29193333333333327,-0.28834999999999994,-0.25358333333333327,-0.4744,-0.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.03333333333333333,0.0,1.0,0.0,0.016666666666666666,-0.015555555555555559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8718055555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8780555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,Isiah_Kiner-Falefa,643396,hitter,BOS,NYY,2026,831634,2,111,147,1,661563.0,Luis_Gil,2.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,7.0,0.08333333333333333,0.9500000000000001,0.9500000000000001,0.5,30.0,65.0,4.1,8.2,5.0625,1.08,-15.0,85.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.2667333333333334,0.96515,0.4873750000000001,-0.2744,0.343125,0.5,0.5,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1.0,batter_pitcher_profile_network_v2,0.06666666666666667,0.0,1.0,0.0,0.03333333333333333,0.8093055555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3491666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6740277777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003055555555555714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Isiah_Kiner-Falefa,643396,hitter,BOS,PIT,2026,831571,3,111,134,0,669387.0,Carmen_Mlodzinski,1.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.07142857142857142,0.6633333333333333,0.6633333333333333,0.5,30.0,65.0,3.8571428571428568,7.7142857142857135,3.4545454545454546,1.08,0.0,81.0,0,4.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.6705341991341993,0.6198166666666669,0.03764393939393951,-0.2744,-0.1106060606060606,1.0,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,2.0,3.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,0.9548148148148149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7508333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6458333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3485648148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48398148148148146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,Isiah_Kiner-Falefa,643396,hitter,BOS,DET,2026,831625,4,111,116,1,680744.0,Ty_Madden,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,6.0,0.07894736842105263,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,13.5,4.5,4.274947478991597,1.08,-6.0,87.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.7638628020349076,-0.17307329546198846,0.09335814149343946,-0.4744026338194444,-0.22716182050948447,1.0,1.5,0.5,0.0,0.25,1.0,2.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.13333333333333333,0.05,0.9425,0.0,0.07839385416666667,0.9911111111111112,0.9812500000000001,0.0,0.0,0.0,0.0,0.0074560462962962966,0.0007456046296296297,0.9516666666666667,0.485,0.0,0.0,0.0,0.0,0.003538613888888888,0.0005661782222222221,0.71875,0.8,0.0,0.0,0.0,0.0,0.0044083333333333335,0.0002204166666666667,0.9161111111111111,-0.015000000000000069,0.0,0.0,0.0,0.0,-0.00010535277777777826,-2.6338194444444567e-06,0.772361111111111,0.7,0.0,0.0,0.0,0.0,0.004145004629629629,0.0002487002777777777
2026-03-12,Isiah_Kiner-Falefa,643396,hitter,BOS,MIN,2026,831622,5,111,142,0,641927.0,Bailey_Ober,2.0,2.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,4.0,0.1,0.445,0.445,0.0,0.0,53.4,0.0,4.5,5.460518053375196,1.08,0.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.8130490160424155,-0.2866234090333333,0.07620498079375992,-0.4744768232144097,-0.13319842735901793,1.0,1.4,0.4,0.0,0.2,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.16666666666666666,0.05,0.9425,0.0,0.09506052083333333,0.9475555555555557,-0.48275,0.0,0.0,0.0,0.0,-0.0043837275925925935,-0.0004383727592592594,0.8148333333333334,-0.5790000000000001,0.0,0.0,0.0,0.0,-0.004521306458333334,-0.0007234090333333334,0.7125,-0.94,0.0,0.0,0.0,0.0,-0.006418437499999999,-0.00032092187499999997,0.5538055555555557,-0.5790000000000001,0.0,0.0,0.0,0.0,-0.0030729285763888893,-7.682321440972224e-05,0.6000555555555557,-0.94,0.0,0.0,0.0,0.0,-0.005405500462962963,-0.00032433002777777775
2026-03-13,Isiah_Kiner-Falefa,643396,hitter,BOS,TB,2026,831616,6,111,139,1,656876.0,Drew_Rasmussen,2.0,2.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,0.10256410256410256,0.445,0.445,0.0,0.0,53.4,0.0,3.0,5.0018796992481205,1.08,-8.0,77.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.2667585922947111,0.10415094826666693,0.06644461530428636,-0.4744539942037037,0.43887739609630916,1.4,1.8,0.4,0.0,0.6,2.0,2.0,0.0,0.0,2.0,batter_pitcher_profile_network_v2,0.2,0.05,0.9425,0.0,0.1117271875,0.9514814814814816,-0.444,0.0,0.0,0.0,0.0,-0.004858264444444445,-0.00048582644444444454,0.7483333333333333,-0.5439999999999999,0.0,0.0,0.0,0.0,-0.004681573333333332,-0.0007490517333333331,0.7291666666666667,-0.9066666666666665,0.0,0.0,0.0,0.0,-0.007602777777777778,-0.0003801388888888889,0.3452314814814815,-0.5439999999999999,0.0,0.0,0.0,0.0,-0.0021597681481481477,-5.39942037037037e-05,0.5306481481481482,-0.9066666666666665,0.0,0.0,0.0,0.0,-0.0055328913580246905,-0.0003319734814814814
2026-03-15,Isiah_Kiner-Falefa,643396,hitter,BOS,MIN,2026,831615,7,111,142,1,805673.0,Zebby_Matthews,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,0.07692307692307693,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,8.488636363636363,9.511363636363637,6.70418078162439,1.08,-11.0,84.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.1416394609575795,0.13365546532167372,0.16824756559312837,-0.47449382351089964,-0.006215972599360964,1.6,2.0,0.4,0.0,0.4,2.0,2.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.23333333333333334,0.1,0.8420238446640782,0.0,0.14135187456953172,0.9542857142857144,0.2549525691699603,0.0,0.0,0.0,0.0,0.008968217671961548,0.0008968217671961548,0.7008333333333332,-0.11964476284584995,0.0,0.0,0.0,0.0,-0.0030908417395394574,-0.0004945346783263132,0.75,0.1438068181818182,0.0,0.0,0.0,0.0,0.003975658443304726,0.0001987829221652363,0.19624999999999998,-0.5187924901185771,0.0,0.0,0.0,0.0,-0.0037529404359868384,-9.382351089967097e-05,0.48642857142857143,0.10545454545454544,0.0,0.0,0.0,0.0,0.0018908309646843144,0.00011344985788105887
2026-03-17,Isiah_Kiner-Falefa,643396,hitter,BOS,ATL,2026,831504,8,111,144,1,625643.0,Reynaldo_López,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,0.08823529411764706,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,1.125,7.875,4.0928571428571425,1.08,0.0,53.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.28987141488651424,-0.24678510025963485,-0.12000315613358786,-0.47448688441397807,-0.1250137013702486,1.4,1.6,0.4,0.0,0.4,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.26666666666666666,0.1,0.692879413297673,0.0,0.15984556052043683,0.9316666666666668,-0.5165738916256158,0.0,0.0,0.0,0.0,-0.039415829537413495,-0.00394158295374135,0.6466666666666666,-0.6240461822660098,0.0,0.0,0.0,0.0,-0.033050258975658255,-0.0052880414361053205,0.7578125,-0.5604382183908045,0.0,0.0,0.0,0.0,-0.03478301062694022,-0.001739150531347011,0.05979166666666669,-0.7097142857142857,0.0,0.0,0.0,0.0,-0.0034753765591235336,-8.688441397808834e-05,0.4238541666666667,-0.6823850574712643,0.0,0.0,0.0,0.0,-0.023687739924311644,-0.0014212643954586985
2026-03-19,Isiah_Kiner-Falefa,643396,hitter,BOS,MIN,2026,831606,9,111,142,1,690953.0,Mick_Abel,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.02702702702702703,0.0,0.0,0.0,0.0,10.0,2.6999999999999997,7.6499999999999995,5.492642320085929,1.08,0.0,74.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.2108303593350307,-0.5656382254118216,-0.10900664139399785,-0.4744,-0.21476084996428663,1.4,1.4,0.4,0.0,0.4,1.0,1.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.1,0.8590165042944955,0.0,0.17447704782239243,0.9140740740740743,-0.04288111888111884,0.0,0.0,0.0,0.0,-0.001657818681976741,-0.00016578186819767412,0.6045370370370371,0.04846241258741266,0.0,0.0,0.0,0.0,0.0012391317166553666,0.00019826107466485866,0.7430555555555556,-0.28179807692307685,0.0,0.0,0.0,0.0,-0.008856229046967357,-0.0004428114523483679,-0.04634259259259249,0.11504895104895113,0.0,0.0,0.0,0.0,0.0,0.0,0.3626851851851853,-0.19203846153846146,0.0,0.0,0.0,0.0,-0.0029458292061149104,-0.0001767497523668946
2026-03-20,Isiah_Kiner-Falefa,643396,hitter,BOS,TB,2026,831602,10,111,139,0,663556.0,Shane_McClanahan,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,6.0,0.09090909090909091,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,0.0,10.840909090909092,6.228826530612245,1.0611111111111111,0.0,76.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.5307545414861263,-0.6738807349297767,-0.03735922474018516,-0.48081846926447913,-0.03511182194115131,1.2,1.2,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3333333333333333,0.1,0.7187912607362389,0.0,0.19286147372264772,0.8715555555555556,-0.9994545454545455,0.0,0.0,0.0,0.0,-0.08165178468191803,-0.008165178468191803,0.5495000000000001,-0.9994545454545454,0.0,0.0,0.0,0.0,-0.051479972098983376,-0.00823679553583734,0.75625,-0.7324242424242423,0.0,0.0,0.0,0.0,-0.05192011632503899,-0.00259600581625195,-0.15969444444444436,-0.9994545454545454,0.0,0.0,0.0,0.0,-0.014960992801387888,-0.0003740248200346972,0.3003055555555556,-0.8657575757575757,0.0,0.0,0.0,0.0,-0.024370656347575056,-0.0014622393808545033
