Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,HR,RBI,TB,R,PA,AB,BB,SO,SB,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Synthetic_Market_H,Market_Source_H,Market_H_books,Market_H_over_price,Market_H_under_price,Market_H_line_std,Market_HR,Synthetic_Market_HR,Market_Source_HR,Market_HR_books,Market_HR_over_price,Market_HR_under_price,Market_HR_line_std,Market_RBI,Synthetic_Market_RBI,Market_Source_RBI,Market_RBI_books,Market_RBI_over_price,Market_RBI_under_price,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,HR_lag1,RBI_lag1,Player_ID,Position,2B,3B,HBP,IBB,SF,SH,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Market_K,Synthetic_Market_K,Market_Source_K,Market_K_books,Market_K_over_price,Market_K_under_price,Market_K_line_std,Market_ER,Synthetic_Market_ER,Market_Source_ER,Market_ER_books,Market_ER_over_price,Market_ER_under_price,Market_ER_line_std,Market_ERA,Synthetic_Market_ERA,Market_Source_ERA,Market_ERA_books,Market_ERA_over_price,Market_ERA_under_price,Market_ERA_line_std,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1,HBP_allowed,Is_Starter
2026-03-26,Jake Bauers,hitter,MIL,CWS,2026,823812,0,158,145,1,2.0,1.0,3.0,5.0,2.0,5.0,5.0,0.0,2.0,0.0,5.0,0.1111111111111111,0.5822,0.32,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,65.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.6363636363636364,0.6363636363636364,synthetic,0.0,-110.0,-110.0,0.0,0.18181818181818182,0.18181818181818182,synthetic,0.0,-110.0,-110.0,0.0,0.5454545454545454,0.5454545454545454,synthetic,0.0,-110.0,-110.0,0.0,2026-03-26T16:00:00Z,0.0,0.0,0.0,0.6363636363636364,0.18181818181818182,0.5454545454545454,0.6363636363636364,0.18181818181818182,0.5454545454545454,641343,1B,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-28,Jake Bauers,hitter,MIL,CWS,2026,823811,1,158,145,1,1.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,2.0,0.0,4.0,0.12195121951219512,0.176,0.5822,0.0,15.0,32.0,0.0,0.0,0.0,1.0,0.0,63.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.0,2.0,synthetic,0.0,-110.0,-110.0,0.0,1.0,1.0,synthetic,0.0,-110.0,-110.0,0.0,3.0,3.0,synthetic,0.0,-110.0,-110.0,0.0,2026-03-28T16:00:00Z,0.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,3.0,641343,1B,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-29,Jake Bauers,hitter,MIL,CWS,2026,823810,2,158,145,1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,7.0,0.047619047619047616,0.0,0.3791,0.0,7.5,45.11000000000001,14.625000000000002,3.3750000000000004,17.470588235294116,1.0,0.0,62.0,0,0.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.5,1.5,synthetic,0.0,-110.0,-110.0,0.0,0.5,0.5,synthetic,0.0,-110.0,-110.0,0.0,1.5,1.5,synthetic,0.0,-110.0,-110.0,0.0,2026-03-29T16:00:00Z,0.0,0.0,0.0,1.5,0.5,1.5,1.0,0.0,0.0,641343,1B,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-30,Jake Bauers,hitter,MIL,TB,2026,823809,3,158,139,1,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,5.0,0.08333333333333333,0.29333333333333333,0.2527333333333333,0.0,5.0,42.71,6.991071428571429,5.544642857142857,14.7,1.0,0.0,64.0,0,0.0,1.0,6.123233995736766e-17,0.0,1.0,1.0,1.0,synthetic,0.0,-110.0,-110.0,0.0,0.3333333333333333,0.3333333333333333,synthetic,0.0,-110.0,-110.0,0.0,1.0,1.0,synthetic,0.0,-110.0,-110.0,0.0,2026-03-30T16:00:00Z,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,641343,1B,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-31,Jake Bauers,hitter,MIL,TB,2026,823807,4,158,139,1,2.0,1.0,1.0,5.0,2.0,4.0,4.0,0.0,0.0,1.0,6.0,0.1111111111111111,0.72775,0.26288333333333336,0.75,3.75,38.350833333333334,6.9940476190476195,5.363095238095238,12.049999999999999,1.0,0.0,65.0,0,0.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.0,1.0,synthetic,0.0,-110.0,-110.0,0.0,0.25,0.25,synthetic,0.0,-110.0,-110.0,0.0,0.75,0.75,synthetic,0.0,-110.0,-110.0,0.0,2026-03-31T16:00:00Z,0.0,0.0,0.0,1.0,0.25,0.75,1.0,0.0,0.0,641343,1B,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01,Jake Bauers,hitter,MIL,TB,2026,823806,5,158,139,1,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,1.0,0.0,4.0,0.1111111111111111,0.1725,0.35585666666666665,0.0,6.75,35.93833333333333,4.285714285714286,6.571428571428572,9.0375,1.0,0.0,62.0,0,0.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,1.2,1.2,synthetic,0.0,-110.0,-110.0,0.0,0.4,0.4,synthetic,0.0,-110.0,-110.0,0.0,0.8,0.8,synthetic,0.0,-110.0,-110.0,0.0,2026-04-01T16:00:00Z,0.0,0.0,0.0,1.2,0.4,0.8,2.0,1.0,1.0,641343,1B,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-04,Jake Bauers,hitter,MIL,KC,2026,824132,6,158,118,0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,6.0,0.1,0.1725,0.3252972222222222,0.0,5.625,35.879555555555555,3.0,7.333333333333333,8.903571428571428,1.0,0.0,47.0,0,2.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0.8,0.8,synthetic,0.0,-110.0,-110.0,0.0,0.2,0.2,synthetic,0.0,-110.0,-110.0,0.0,0.2,0.2,synthetic,0.0,-110.0,-110.0,0.0,2026-04-04T16:00:00Z,0.0,0.0,0.0,0.8,0.2,0.2,0.0,0.0,0.0,641343,1B,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-04,Jake Bauers,hitter,MIL,KC,2026,824134,7,158,118,0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,4.0,0.1111111111111111,0.0,0.30346904761904764,0.0,4.821428571428572,35.40100793650794,3.0,7.333333333333333,8.903571428571428,1.0,0.0,55.0,0,0.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0.6,0.6,synthetic,0.0,-110.0,-110.0,0.0,0.2,0.2,synthetic,0.0,-110.0,-110.0,0.0,0.2,0.2,synthetic,0.0,-110.0,-110.0,0.0,2026-04-04T16:00:00Z,0.0,0.0,0.0,0.6,0.2,0.2,0.0,0.0,0.0,641343,1B,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-05,Jake Bauers,hitter,MIL,KC,2026,824131,8,158,118,0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.022727272727272728,1.247,0.2655354166666667,1.0,4.21875,34.76924503968254,5.333333333333333,11.666666666666666,8.073979591836734,1.0,0.0,56.0,0,0.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.6,0.6,synthetic,0.0,-110.0,-110.0,0.0,0.2,0.2,synthetic,0.0,-110.0,-110.0,0.0,0.2,0.2,synthetic,0.0,-110.0,-110.0,0.0,2026-04-05T16:00:00Z,0.0,0.0,0.0,0.6,0.2,0.2,0.0,0.0,0.0,641343,1B,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-06,Jake Bauers,hitter,MIL,BOS,2026,824783,9,158,111,0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,1.0,1.0,0.0,5.0,0.10869565217391304,0.13799999999999998,0.37458703703703705,0.0,6.527777777777779,33.85638910934745,3.5416666666666665,8.375,4.412747778537253,1.0,0.0,46.0,0,0.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.6,0.6,synthetic,0.0,-110.0,-110.0,0.0,0.2,0.2,synthetic,0.0,-110.0,-110.0,0.0,0.4,0.4,synthetic,0.0,-110.0,-110.0,0.0,2026-04-06T16:00:00Z,0.0,0.0,0.0,0.6,0.2,0.4,1.0,0.0,1.0,641343,1B,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
